NSW - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
Randwick,Randwick City Council,Home Electrification,Sustainability rebates (existing) - Electric vehicle charger,Current,"Rebate for installation of electric vehicle charger at home.
",House; apartment; business,Rebate,"Rebate:
- Household: 25% up to $250
- Apartment Block: 25% up to $5,000
- Business: 25% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Must be an electric vehicle charger (or electric vehicle infrastructure in apartment blocks).
- Must be installed by a licenced electrician.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",1 January 2021,N/A,Randwick City Council,"""As of 30 June 2021, 263 rebates have been provided to the community, costing Council
approximately $150,000. An additional $1.5 million of investment has been leveraged from the
community for energy and water saving initiatives. The rebates have resulted in 6 energy
assessments, 5 hot water systems, 29 insulation installations, 606 LEDs upgraded across 27
properties, 13 rainwater tanks, 157 rooftop solar and 16 battery installations, and more. Rooftop
solar has been of key interest to the community, with a total of 1,300 kW of solar being
installed.

The impact of the Sustainability Rebates is estimated at savings of 1,600 megawatt-hours of
electricity, 1,400 tonnes of carbon dioxide equivalent, 800 kilolitres of water, and $250,000 in
electricity bills each year. Surveyed recipients found that 100% would recommend the program
to other residents and over 75% of residents have stated that the rebate had a ‘high’ or ‘very
high’ impact on their decision to move ahead with their particular energy or water saving
purchase or installation.""

(Local Government NSW report: https://lgnsw.org.au/common/Uploaded%20files/Environment_Awards/2021/Randwick_sustainability_rebates.pdf)",N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf

https://lgnsw.org.au/common/Uploaded%20files/Environment_Awards/2021/Randwick_sustainability_rebates.pdf"
Randwick,Randwick City Council,Energy Audits and Ratings,Sustainability rebates - Energy assessment,Current,Rebate for Residential Efficiency Scorecard Assessments (and other general energy assessment) for the purpose of knowing where/how to reduce energy use.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 50% up to $150
- Apartment Block: 50% up to $1,000
- Business: 50% up to $500","- Only available for properties in the Randwick Local Government Area.
- For Households: includes Residential Efficiency Scorecard Assessments and general assessments.
- For Apartment Blocks: includes NABERS Ratings, electric vehicle charging assessments and solar assessments.
- For Businesses: includes general assessments.
- Must be completed by a licenced professional.
- Completed within the past 12 months.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Hot Water System Upgrades,Sustainability rebates - Hot water system,Current,Rebate for hot water system. Also eligible for the Federal Government's STC rebate and the State Government's ESC rebate when installing an electric heat pump or rooftop solar hot water system.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $500
- Apartment Block: 25% up to $5,000
- Business: 25% up to $1,000
","- Only available for properties in the Randwick Local Government Area.
- Must be a Clean Energy Council Accredited electric heat pump or rooftop solar hot water system.
- Excludes swimming pool heat pumps.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Appliance and Lighting Efficiency,Sustainability rebates - Induction cooktop,Current,Rebate for induction cooktops.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $250
- Business: 25% up to $500","- Only available for properties in the Randwick Local Government Area.
- Must replace either a gas or electric (non-induction) cooktop.
- Must be installed by a licenced electrician.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Thermal Efficiency Upgrades,Sustainability rebates - Insulation,Current,Rebate for insulation.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $500
- Apartment Block: 25% up to $2,000
- Business: 25% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Must be installed by a professional installer.
- Ceiling insulation must have a minimum R value of 3.5.
- Sub-floor insulation must have a minimum R value of 1.4.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Appliance and Lighting Efficiency,Sustainability rebates - Lighting,Current,Rebate for replacing old halogen/fluorescent/incandescent lights with efficient LED lights.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $250
- Apartment Block: 25% up to $5,000
- Business: 25% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Must replace either halogen, fluorescent or incandescent lights.
- Must be installed by a licenced electrician.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.
",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Appliance and Lighting Efficiency,Sustainability rebates - Pool pump,Current,Rebate for efficient pool pumps with a minimum 7 Energy Star Rating.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 50% up to $250
- Apartment Block: 50% up to $250
- Business: 50% up to $250","- Only available for properties in the Randwick Local Government Area.
- New pool pumps (and controllers) must have a minimum 7 Energy Star Rating (find your rating).
- Must be installed by a licenced professional for swimming pool filtration only.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Appliance and Lighting Efficiency,Sustainability rebates - Rainwater tank,Current,"Rebate for installation of rainwater tanks with a minimum capacity of 1,000 litres.",Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $250
- Apartment Block: 25% up to $2,000
- Business: 25% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Minimum capacity of 1,000 litres.
- Must be installed by a licensed plumber.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Solar and Battery Systems,Sustainability rebates - Rooftop solar,Current,Rebate for installation of rooftop solar.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 10% up to $500
- Apartment Block: 10% up to $5,000
- Business: 10% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Must be installed by a Clean Energy Council or New Energy Tech Consumer Code (NETCC) Accredited Installer.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Solar and Battery Systems,Sustainability rebates - Solar battery,Current,Rebate for installation of solar battery.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 10% up to $1,000
- Apartment Block: 10% up to $2,000
- Business: 10% up to $1,000","- Only available for properties in the Randwick Local Government Area.
- Must be installed by a Clean Energy Council or New Energy Tech Consumer Code (NETCC) Accredited Installer.
- Installed within the past 12 months.
- Not required for BASIX or Development Application Compliance purposes.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Solar and Battery Systems,Sustainability rebates - Solar health check,Current,Rebate for solar health check to inform whether rooftop solar is working effectively.,Houses; apartments; businesses,Rebate,"Rebate:
- Household: 50% up to $100
- Apartment Block: 50% up to $100
- Business: 50% up to $100
","- Only available for properties in the Randwick Local Government Area.
- Must be completed by a licenced electrician.
- Provided within the past 12 months.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Hot Water System Upgrades,Sustainability rebates - Waterfix,Current,"Rebate for replacement of inefficient taps, showerheads, toilets, aerators and leak repairs through Sydney Water's initiatve WaterFix Residential and WaterFix Strata.",Houses; apartments; businesses,Rebate,"Rebate:
- Household: 25% up to $250
- Apartment Block: 25% up to $2,000
- Business: 25% up to $1,000
","- Only available for properties in the Randwick Local Government Area.
- Must be completed by a Sydney Water WaterFix® plumber.
- Completed within the past 12 months.",Unclear,N/A,Randwick City Council,See above.,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/__data/assets/pdf_file/0010/346618/Community-Sustainable-Guidelines-Community-Investment-Program.pdf"
Randwick,Randwick City Council,Heating and Cooling Upgrades,Sustainability rebates (additional),Current,"An energy and water saving initiative where properties in Randwick can receive up to $5,000 in rebates for purchasing rooftop solar, rainwater tanks, pool pumps, insulation, or one or more of the other current rebate items (see above).","All Randwick properties (houses, units, businesses) - stats show vast majority are houses",Rebate,"Maximum $5,000",Sustainable Product must have been installed or undertaken in the past 12 months.,1 November 2020,N/A,Randwick City Council,N/A,N/A,sustainability@randwick.nsw.gov.au,"https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates

https://www.randwick.nsw.gov.au/business/business-resources/sustainability-rebates/sustainability-rebates-results

https://rebately.co/randwick/"
Bayside,Bayside Council,Building Energy Standards,Development Control Plan,Current,Broadly supports energy and environmental sustainability within the objectives of its Development Control Plan at page 25. The DCP provides general guidelines/principles.,Houses; apartments; businesses,N/A,N/A,N/A,10 April 2023,N/A,Bayside Council,N/A,N/A,"council@bayside.nsw.gov.au

9562 1666",https://www.bayside.nsw.gov.au/sites/default/files/2023-04/bayside_development_control_plan_2022.PDF
Canada Bay,City of Canada Bay Council,Education and Awareness Programs,SunSpot,Current,Canada Bay Council subscribes to SunSpot to provide residents with assistance on the type of solar panel suited to their house.,Houses,Information,Free,N/A,Unclear,N/A,SunSpot & City of Canada Bay Council,N/A,N/A,"environment@canadabay.nsw.gov.au

9911 6555",https://collaborate.canadabay.nsw.gov.au/energyprograms
Canada Bay,City of Canada Bay Council,Energy Audits and Ratings,Energy Audit for Apartments,Current,"Limited number of free Solar Feasibility and Energy Assessments available for apartments blocks, to identify what energy saving measures suit their buildings.",Apartments,Assessment & Advice/Information,Free,"To be eligible for this program, applicants must:
- Be located in the City of Canada Bay Council area.
- Commit to implementing energy saving measures equivalent to the audit value that is paid by Council to Wattblock (between $1000 - $3,500) within 1 year of receiving the report.
- Commit to participating in a Council run case study.

Buildings will be selected on the basis of their:
- Energy consumption.
- Size and complexity.
- Capacity of owners corporations to implement upgrades.
- Online application",2019,N/A,City of Canada Bay Council,Canada Bay Council has supported more than 10 apartment buildings with energy and sustainability assessments since 2019.,"Applicants require a written approval from their strata committee to participate in the program and a current copy of their energy bills.

Limited spaces are available for this program.","environment@canadabay.nsw.gov.au

9911 6555",https://collaborate.canadabay.nsw.gov.au/buildingsnetwork/solarprograms
Canada Bay,City of Canada Bay Council,Building Energy Standards,Passed motion for new homes and businesses to be all-electric.,Current,"On 19 September 2023, the Council unanimously passed the motion to ban gas cooking and space heating applicances in new buildings in Canada Bay.",(New) Houses; apartments; businesses,N/A - gas ban,N/A,N/A,19 September 2023,N/A,City of Canada Bay Council,"Research by Strategy Policy Research shows that this policy could save 344,343 tonnes of carbon emissions within Canada Bay LGA compared with business as usual over 40 years. It could also save new households an average of $432 per year in energy bills (about $5,500 over a 40-year life of a dwelling) which amounts to $44.9 million for all new homes across the LGA.

https://350.org.au/files/2023/08/Analysis_-City-of-Sydney-ban-on-new-gas-connections-3.pdf",N/A,"environment@canadabay.nsw.gov.au

9911 6555","https://canadabaygreens.org/creating-all-electric-homes-and-businesses-in-canada-bay-lga/

https://350.org.au/press-release/city-of-canada-bay-joins-growing-council-led-movement-towards-all-electric-gas-free-new-homes-and-businesses/

https://350.org.au/files/2023/08/Analysis_-City-of-Sydney-ban-on-new-gas-connections-3.pdf"
Inner West,Inner West Council,Education and Awareness Programs,Borrow a thermal imaging camera,Current,The Council has two thermal imaging cameras available for residents to borrow at no charge from the Green Living Centre.,Houses; apartments,Borrow thermal camera,Free,N/A,Unclear,N/A,Inner West Council,N/A,N/A,"education@greenlivingcentre.org.au

9335 2129 (Green Living Centre)",https://www.innerwest.nsw.gov.au/live/environment-and-sustainability/at-home/electrify-your-home
Inner West,Inner West Council,Education and Awareness Programs,Borrow a power kit,Current,"Power-Mates can be borrowed free of charge from the Green Living Centre and can be used to monitor the energy consumption of different appliances in your home. The Power-Mate will even estimate the average costs of running the appliance over the year, both in dollar value and in terms of greenhouse gas emissions.",Houses; apartments,Borrow thermal camera,Free,N/A,Unclear,N/A,Inner West Council,N/A,N/A,"education@greenlivingcentre.org.au

9335 2129 (Green Living Centre)",https://www.innerwest.nsw.gov.au/live/environment-and-sustainability/at-home/electrify-your-home
Inner West,Inner West Council,Solar and Battery Systems,Go solar for strata,Current,"Council is supporting apartments and townhouses (strata) to go solar. The focus is to support the 75 strata properties who have received a Council funded independent solar feasibility study in 2021-2022 to progress to solar installation.

The program involves:
- A free solar feasibility assessment conducted by independent industry specialists
- A detailed report which clearly illustrates the environmental and financial case for rooftop solar
- Phone/online video conferencing support at strata meetings, if requested, to help communicate the benefits",Apartments,Various,Free,"Targeted towards strata residents, committee members, strata managers, building or facilities managers.",Unclear,Unclear,Inner West Council,N/A,N/A,"council@innerwest.nsw.gov.au

02 9392 5000",https://www.innerwest.nsw.gov.au/live/environment-and-sustainability/at-home/go-solar/solar-for-apartments-and-townhouses/go-solar-for-strata
Ryde,Ryde City Council,Home Electrification,Gas ban,Current,"In August 2023, the Council banned gas applicances in residential premises.",Houses; apartments,N/A - gas ban,N/A,N/A,Unclear,N/A,Ryde City Council,N/A,N/A,cityofryde@ryde.nsw.gov.au,https://350.org.au/detailed-policy-guide-to-all-electric-gas-free-new-homes-and-businesses/
Burwood,Burwood Council,Education and Awareness Programs,Energy efficiency education and promotional campaigns,Future,"The Sustainable Burwood Plan provides that the Council will provide more energy efficiency education and campaigns.

https://www.burwood.nsw.gov.au/For-Residents/Our-Environment/Sustainable-Living/Sustainable-Burwood",General,N/A - education program,N/A,N/A,Unclear,N/A,Burwood Council,N/A,"Burwood Council 'promotes' that its residents switch to a GreenPower electricity plan. 

There are no other clear indicators as to any existing schemes/initiatives undertaken by Burwood Council in respect of energy efficiency in residential housing.

","council@burwood.nsw.gov.au

9911 9911

",https://www.burwood.nsw.gov.au/For-Residents/Our-Environment/Sustainable-Living/Sustainable-Burwood
Strathfield,Strathfield Council,,None,,,,,,,,,,,,,
Canterbury-Bankstown,Canterbury-Bankstown Council,Solar and Battery Systems,Solar rebate program,Current,Rebate of up to $500 to residents for installing solar photovoltaic (solar PV) on residential properties in Canterbury-Bankstown. This initiative is part of Council’s target to increase rooftop solar on single unit dwellings to 50% by 2036 and to support residents choosing renewable solar energy for their homes.  ,Houses,Rebate,Maximum $500,"- The applicant property must be located within the Canterbury-Bankstown Local Government Area.
- The applicant property must not have an existing solar PV system installed.
- The applicant must either be the owner or landlord of the property and the applicant can only apply for a rebate for one property.
- The installer for the solar PV system must be accredited by Solar Accreditation Australia (SAA) and the installation must be carried out by a licensed electrician and meet all relevant installation standards. You can check for your installer's SAA accreditation here. 
- Properties under a strata scheme are not eligible.
- The solar PV system installed must be new and must not have been previously used - Solar PV systems installed before the launch of the Solar Rebate program on 15 June 2023 are not eligible.
- To apply for the rebate, your solar PV must have been installed within the last 3 months of applying for the rebate.",15 June 2023,N/A - available until funding is exhausted,Canterbury-Bankstown Council,N/A,"No pre-approvals required.

Retrospective rebate applications beyond 3 months from the date of application are not available.

The Council recommends requesting a minimum of three quotes from an installation company on the New Energy Tech Consumer Code (NETCC) list of New Energy Tech Approved Sellers: https://www.newenergytech.org.au/find-an-approved-seller","sustainabilty@cbcity.nsw.gov.au

9707 9000","https://www.cbcity.nsw.gov.au/environment/environmental-programs-and-initiatives/solar-rebate-program

https://rebately.co/cbcity/"
Georges River,Georges River Council,Education and Awareness Programs,Our Energy Future,Current,"Georges River Council participates in the Our Energy Future program, which focuses on building the capacity of community groups to disseminate information about solar panels and energy efficiency opportunities for households.",Houses; Apartments,N/A,N/A,N/A,Unclear,N/A,Georges River Council,N/A,N/A,"mail@georgesriver.nsw.gov.au

(02) 9330 6400",https://www.georgesriver.nsw.gov.au/Environment/Sustainability/Renewable-energy-and-Energy-Efficiency
Georges River,Georges River Council,Community Energy Projects,Georges River Council’s Environmental Resilience Action Plan 2022-2040,Current,An action plan to guide the Council towards the delivery of its environmental sustainability goals.,N/A,N/A,N/A,N/A,2022,2040,N/A,N/A,N/A,"mail@georgesriver.nsw.gov.au

(02) 9330 6400",https://www.georgesriver.nsw.gov.au/StGeorge/media/Documents/Council/Plans%20and%20Documents/Environmental-Resilience-Action-Plan-2022-2040.pdf
Sutherland Shire,Sutherland Shire Council,Education and Awareness Programs,Sustainability kit,Current,"Residents can borrow a sustainability kit to determine the energy efficiency of home applicances, identify air leaks and other insulation gaps.",Houses; Apartments,Borrow thermal camera,N/A,N/A,Unclear,N/A,Sutherland Shire Council,N/A,N/A,(02) 9710 0351,https://www.sutherlandshire.nsw.gov.au/subsites/libraries/whats-on/sustainability/sustainability-kit
Hornsby,Hornsby Shire Council,Education and Awareness Programs,Save Power Kit and Thermal Cameras,Current,Save Power Kits can help residents find out which of their appliances are using the most energy. Thermal Cameras can help locate insulation and draught problems in homes.,Houses; Apartments,Borrow thermal camera,N/A,N/A,Unclear,N/A,Hornsby Shire Council,N/A,N/A,"hsc@hornsby.nsw.gov.au

02 9847 6666",https://www.hornsby.nsw.gov.au/environment/sustainability/in-the-home
